datetime,kwh,athome
2018-01-02 15:26:50.660686+00:00,0.54,2
2018-01-02 15:27:50.722702+00:00,0.78,2
2018-01-02 15:28:50.790973+00:00,3.18,2
2018-01-02 15:29:50.836339+00:00,3.36,2
2018-01-02 15:30:50.900047+00:00,3.21,2
2018-01-02 15:31:50.980336+00:00,1.44,2
2018-01-02 15:32:51.017937+00:00,0.57,2
2018-01-02 15:33:51.079817+00:00,0.48,2
2018-01-02 15:34:51.144982+00:00,0.54,2
2018-01-02 15:35:51.999629+00:00,0.51,2
2018-01-02 15:37:51.361828+00:00,0.54,2
2018-01-02 15:38:51.382232+00:00,0.48,2
2018-01-02 15:40:51.508190+00:00,0.57,2
2018-01-02 15:41:51.557611+00:00,0.48,2
2018-01-02 15:42:51.639685+00:00,0.54,2
2018-01-02 15:43:51.684113+00:00,0.48,2
2018-01-02 15:45:32.818311+00:00,0.0,2
2018-01-02 15:46:32.879248+00:00,0.51,2
2018-01-02 15:47:32.971256+00:00,0.54,2
2018-01-02 15:48:32.999977+00:00,0.48,2
2018-01-02 15:49:33.059212+00:00,0.54,2
2018-01-02 15:50:33.122219+00:00,0.51,2
2018-01-02 15:51:33.175772+00:00,0.54,2
2018-01-02 15:53:33.305577+00:00,0.48,1
2018-01-02 15:54:33.360867+00:00,0.54,1
2018-01-02 15:55:33.421662+00:00,0.48,1
2018-01-02 15:56:33.483422+00:00,0.57,1
2018-01-02 15:57:33.541021+00:00,0.48,1
2018-01-02 15:59:33.659213+00:00,0.57,1
2018-01-02 16:00:33.726916+00:00,0.48,1
2018-01-02 16:01:33.787276+00:00,0.54,2
2018-01-02 16:02:33.845050+00:00,0.48,2
2018-01-02 16:03:33.907843+00:00,0.6,2
2018-01-02 16:04:33.972372+00:00,0.66,2
2018-01-02 16:05:34.026388+00:00,0.69,2
2018-01-02 16:06:34.088489+00:00,0.6,2
2018-01-02 16:07:34.152184+00:00,0.69,2
2018-01-02 16:08:34.211373+00:00,0.66,2
2018-01-02 16:10:34.338644+00:00,0.63,2
2018-01-02 16:11:34.391720+00:00,0.6,2
2018-01-02 16:12:34.460367+00:00,0.66,2
2018-01-02 16:13:34.518210+00:00,0.69,2
2018-01-02 16:14:34.572769+00:00,0.72,2
2018-01-02 16:15:34.644332+00:00,0.69,2
2018-01-02 16:16:34.692380+00:00,1.26,2
2018-01-02 16:17:34.761572+00:00,1.8,2
2018-01-02 16:18:13.748399+00:00,0.06,2
2018-01-02 16:19:13.824250+00:00,1.71,2
2018-01-02 16:21:22.926061+00:00,0.09,2
2018-01-02 16:22:31.979640+00:00,0.06,2
2018-01-02 16:23:32.040149+00:00,1.83,2
2018-01-02 16:24:32.100760+00:00,1.65,2
2018-01-02 16:25:32.158328+00:00,1.71,2
2018-01-02 16:26:40.713009+00:00,0.06,2
2018-01-02 16:27:40.770623+00:00,1.83,2
2018-01-02 16:28:19.764893+00:00,0.06,2
2018-01-02 16:29:19.826849+00:00,1.02,2
2018-01-02 16:30:19.889902+00:00,0.48,2
2018-01-02 16:31:19.948160+00:00,0.51,2
2018-01-02 16:32:20.009503+00:00,0.48,2
2018-01-02 16:33:20.069788+00:00,0.51,2
